dti_decile,resolved_loans,defaults,default_rate_pct,avg_dti,avg_fico,avg_int_rate,avg_loan_amt,cumulative_default_pct
1,134773,19808,14.7,4.62,706.0,12.22,13089.0,1.47
2,134773,20614,15.3,8.96,700.0,12.32,14064.0,3.0
3,134773,21903,16.25,11.77,699.0,12.51,14430.0,4.62
4,134773,23349,17.32,14.17,698.0,12.73,14562.0,6.36
5,134773,24940,18.51,16.46,697.0,12.95,14703.0,8.21
6,134772,26577,19.72,18.78,697.0,13.17,14762.0,10.18
7,134772,28426,21.09,21.25,697.0,13.46,14722.0,12.29
8,134772,30760,22.82,24.07,697.0,13.72,14737.0,14.57
9,134772,33815,25.09,27.61,696.0,14.04,14637.0,17.08
10,134772,39097,29.01,35.04,695.0,15.3,14287.0,19.98
