issue_year,total_loans,resolved_loans,defaults,default_rate_pct,volume_billions,avg_int_rate,avg_fico,avg_dti,prev_year_volume,volume_yoy_pct
2007,603,603,158,26.2,0.005,11.83,692.0,10.71,,
2008,2393,2393,496,20.73,0.02,12.06,699.0,13.2,0.005,300.0
2009,5281,5281,723,13.69,0.052,12.44,717.0,12.47,0.02,160.0
2010,12537,12537,1757,14.01,0.126,11.99,715.0,13.1,0.052,142.31
2011,21721,21721,3297,15.18,0.257,12.22,717.0,13.85,0.126,103.97
2012,53367,53367,8644,16.2,0.718,13.64,703.0,16.66,0.257,179.38
2013,134814,134804,21024,15.6,1.983,14.53,697.0,17.22,0.718,176.18
2014,235629,223103,41162,18.45,3.504,13.77,694.0,18.04,1.983,76.7
2015,421095,375546,75804,20.19,6.418,12.6,696.0,19.15,3.504,83.16
2016,434407,293105,68252,23.29,6.401,13.04,697.0,18.86,6.418,-0.26
2017,443579,169321,39169,23.13,6.585,13.24,702.0,19.22,6.401,2.87
2018,495242,56318,8874,15.76,7.936,12.73,708.0,19.67,6.585,20.52
